Derivative,Original_Function
18*x**2 + 14*x,6*x**3 + 7*x**2 - 3
exp(x),exp(x)
-21*x**2 + 2*x + 3,-7*x**3 + x**2 + 3*x + 6
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
-sin(x),cos(x)
cos(x),sin(x)
cos(x),sin(x)
exp(x),exp(x)
(-6*x + exp(x) - 8)*sin(x) + (-3*x**2 - 8*x + exp(x) - 3)*cos(x),(-3*x**2 - 8*x + exp(x) - 3)*sin(x)
18*x**2 + 6*x + 5,6*x**3 + 3*x**2 + 5*x - 7
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
tan(x)**2 + 1,tan(x)
(3*x**2 + 6*x - 6)*sin(x) + (x**3 + 3*x**2 - 6*x + 6)*cos(x),(x**3 + 3*x**2 - 6*x + 6)*sin(x)
27*x**2 + 4*x - 9,9*x**3 + 2*x**2 - 9*x - 6
cos(x),sin(x)
exp(x),exp(x)
-3*x**2 - 6*x + 10,-x**3 - 3*x**2 + 10*x - 6
cos(x),sin(x)
tan(x)**2 + 1,tan(x)
21*x**2 - 16*x - 7,7*x**3 - 8*x**2 - 7*x - 8
exp(x),exp(x)
-sin(x),cos(x)
-sin(x),cos(x)
1/x,log(x)
(tan(x)**2 + 1)*log(x) + tan(x)/x,log(x)*tan(x)
-sin(x),cos(x)
-3*x**2 + 20*x + 4,-x**3 + 10*x**2 + 4*x - 5
log(x)*cos(x) + sin(x)/x,log(x)*sin(x)
(30*x**2 + 12*x - 2)*(10*x**3 + 6*x**2 - 2*x + log(x) + 6) + (30*x**2 + 12*x - 2 + 1/x)*(10*x**3 + 6*x**2 - 2*x + 6),(10*x**3 + 6*x**2 - 2*x + 6)*(10*x**3 + 6*x**2 - 2*x + log(x) + 6)
-sin(x),cos(x)
(-9*x**2 + 4*x - 9)*(-3*x**3 + 2*x**2 - 9*x + cos(x) + 10) + (-9*x**2 + 4*x - sin(x) - 9)*(-3*x**3 + 2*x**2 - 9*x + 10),(-3*x**3 + 2*x**2 - 9*x + 10)*(-3*x**3 + 2*x**2 - 9*x + cos(x) + 10)
cos(x),sin(x)
-sin(x),cos(x)
cos(x),sin(x)
exp(x),exp(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
-sin(x),cos(x)
cos(x),sin(x)
cos(x),sin(x)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
exp(x),exp(x)
-sin(x),cos(x)
-sin(x),cos(x)
27*x**2 + 6*x - 10,9*x**3 + 3*x**2 - 10*x - 3
cos(x),sin(x)
-9*x**2 - 8*x - 9,-3*x**3 - 4*x**2 - 9*x - 9
1/x,log(x)
9*x**2 + 20*x - 5,3*x**3 + 10*x**2 - 5*x - 6
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
27*x**2 - 10*x + 10,9*x**3 - 5*x**2 + 10*x + 6
-sin(x),cos(x)
-27*x**2 + 16*x - 1,-9*x**3 + 8*x**2 - x - 2
18*x**2 + 20*x - 7,6*x**3 + 10*x**2 - 7*x - 3
3*x**2 + 8,x**3 + 8*x + 6
1/x,log(x)
exp(x),exp(x)
(30*x**2 - 20*x - 4)*exp(x) + (10*x**3 - 10*x**2 - 4*x - 6)*exp(x),(10*x**3 - 10*x**2 - 4*x - 6)*exp(x)
log(x)*cos(x) + sin(x)/x,log(x)*sin(x)
6*x**2 + 12*x + 5,2*x**3 + 6*x**2 + 5*x - 1
(log(x) + sin(x))*cos(x) + (cos(x) + 1/x)*sin(x),(log(x) + sin(x))*sin(x)
(-9*x**2 + 16*x + 6)*(-3*x**3 + 8*x**2 + 6*x + tan(x) + 8) + (-9*x**2 + 16*x + tan(x)**2 + 7)*(-3*x**3 + 8*x**2 + 6*x + 8),(-3*x**3 + 8*x**2 + 6*x + 8)*(-3*x**3 + 8*x**2 + 6*x + tan(x) + 8)
tan(x)**2 + 1,tan(x)
(tan(x)**2 + 1)*(7*x**3 + 4*x**2 + 5*x + log(x) - 7) + (21*x**2 + 8*x + 5 + 1/x)*tan(x),(7*x**3 + 4*x**2 + 5*x + log(x) - 7)*tan(x)
-sin(x),cos(x)
(exp(x) - sin(x))*(-6*x**3 + 2*x**2 - 5*x - 10) + (exp(x) + cos(x))*(-18*x**2 + 4*x - 5),(exp(x) + cos(x))*(-6*x**3 + 2*x**2 - 5*x - 10)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
exp(x),exp(x)
cos(x),sin(x)
15*x**2 + 8*x - 10,5*x**3 + 4*x**2 - 10*x - 8
-sin(x),cos(x)
exp(x),exp(x)
-sin(x),cos(x)
6*x**2 + 16*x + 7,2*x**3 + 8*x**2 + 7*x - 6
-18*x**2 - 14*x + 5,-6*x**3 - 7*x**2 + 5*x - 2
1/x,log(x)
(-21*x**2 - 6*x - 8)*(-7*x**3 - 3*x**2 - 8*x + exp(x) - 6) + (-21*x**2 - 6*x + exp(x) - 8)*(-7*x**3 - 3*x**2 - 8*x - 6),(-7*x**3 - 3*x**2 - 8*x - 6)*(-7*x**3 - 3*x**2 - 8*x + exp(x) - 6)
exp(x),exp(x)
(9*x**2 - 10*x + cos(x) - 10)*sin(x) + (3*x**3 - 5*x**2 - 10*x + sin(x) - 9)*cos(x),(3*x**3 - 5*x**2 - 10*x + sin(x) - 9)*sin(x)
exp(x),exp(x)
1/x,log(x)
cos(x),sin(x)
(-12*x**2 + 8*x - 6)*(-2*x**3 + 2*x**2 - 3*x + 8),(-2*x**3 + 2*x**2 - 3*x + 8)**2
-6*x**2 + 2*x - 3,-2*x**3 + x**2 - 3*x - 6
log(x)*cos(x) + sin(x)/x,log(x)*sin(x)
exp(x),exp(x)
(log(x) + tan(x))*(tan(x)**2 + 1) + (tan(x)**2 + 1 + 1/x)*tan(x),(log(x) + tan(x))*tan(x)
-sin(x),cos(x)
cos(x),sin(x)
-3*x**2 - 4*x + 4,-x**3 - 2*x**2 + 4*x - 4
1/x,log(x)
6*x**2 - 6*x - 3,2*x**3 - 3*x**2 - 3*x - 7
-6*x**2 + 6*x + 8,-2*x**3 + 3*x**2 + 8*x + 7
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
27*x**2 + 8*x - 10,9*x**3 + 4*x**2 - 10*x + 9
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
(9*x**2 - 16*x + cos(x) - 5)*sin(x) + (3*x**3 - 8*x**2 - 5*x + sin(x) + 8)*cos(x),(3*x**3 - 8*x**2 - 5*x + sin(x) + 8)*sin(x)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
-sin(x),cos(x)
-30*x**2 - 8*x,-10*x**3 - 4*x**2 + 10
30*x**2 + 4,10*x**3 + 4*x + 9
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
21*x**2 - 20*x + 6,7*x**3 - 10*x**2 + 6*x - 10
-20*x + 5 + 1/x,-10*x**2 + 5*x + log(x) - 9
30*x**2 + 1,10*x**3 + x + 1
cos(x),sin(x)
(-24*x**2 - 6*x - 7 + 1/x)*log(x) + (-8*x**3 - 3*x**2 - 7*x + log(x) + 8)/x,(-8*x**3 - 3*x**2 - 7*x + log(x) + 8)*log(x)
cos(x),sin(x)
exp(x),exp(x)
-sin(x),cos(x)
6*x**2 - 2*x - 8,2*x**3 - x**2 - 8*x
27*x**2 + 10*x + 1,9*x**3 + 5*x**2 + x + 7
1/x,log(x)
9*x**2 + 8*x + 9,3*x**3 + 4*x**2 + 9*x - 5
-30*x**2 + 14*x - 5,-10*x**3 + 7*x**2 - 5*x - 2
-sin(x),cos(x)
12*x**2 - 6*x - 6,4*x**3 - 3*x**2 - 6*x - 2
exp(x)*sin(x) + exp(x)*cos(x),exp(x)*sin(x)
-21*x**2 - 16*x + 10,-7*x**3 - 8*x**2 + 10*x - 9
exp(x),exp(x)
cos(x),sin(x)
-24*x**2 - 10*x - 7,-8*x**3 - 5*x**2 - 7*x + 8
(-27*x**2 - 14*x + exp(x) + 10)*exp(x) + (-9*x**3 - 7*x**2 + 10*x + exp(x) - 1)*exp(x),(-9*x**3 - 7*x**2 + 10*x + exp(x) - 1)*exp(x)
cos(x),sin(x)
-sin(x),cos(x)
1/x,log(x)
exp(x),exp(x)
(-27*x**2 - 8*x + exp(x) - 2)*cos(x) - (-9*x**3 - 4*x**2 - 2*x + exp(x) + 7)*sin(x),(-9*x**3 - 4*x**2 - 2*x + exp(x) + 7)*cos(x)
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
(log(x) + tan(x))*(27*x**2 + 4*x + 2) + (tan(x)**2 + 1 + 1/x)*(9*x**3 + 2*x**2 + 2*x + 2),(log(x) + tan(x))*(9*x**3 + 2*x**2 + 2*x + 2)
12*x**2 - 4*x - 3,4*x**3 - 2*x**2 - 3*x - 3
tan(x)**2 + 1,tan(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
-42*x**2 + 24*x + 12,-14*x**3 + 12*x**2 + 12*x - 18
exp(x),exp(x)
15*x**2 - 4*x,5*x**3 - 2*x**2 + 5
27*x**2 - 16*x - 2,9*x**3 - 8*x**2 - 2*x - 5
-24*x**2 + 8*x - 1,-8*x**3 + 4*x**2 - x - 10
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
30*x**2 - 18*x,10*x**3 - 9*x**2 - 8
24*x**2 - 16*x + 9,8*x**3 - 8*x**2 + 9*x - 5
exp(x),exp(x)
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
2*exp(2*x),exp(2*x)
-sin(x),cos(x)
(log(x) + sin(x))*cos(x) + (cos(x) + 1/x)*sin(x),(log(x) + sin(x))*sin(x)
-3*x**2 + 18*x + 9,-x**3 + 9*x**2 + 9*x + 5
1/x,log(x)
30*x**2 + 6*x,10*x**3 + 3*x**2 + 1
-21*x**2 + 2*x - 6,-7*x**3 + x**2 - 6*x + 2
9*x**2 - 3,3*x**3 - 3*x + 5
(tan(x)**2 + 1)*(-20*x**3 + 20*x**2 - 20*x - 10) + (-60*x**2 + 40*x - 20)*tan(x),(-20*x**3 + 20*x**2 - 20*x - 10)*tan(x)
1/x,log(x)
24*x**2 + 18*x - 9,8*x**3 + 9*x**2 - 9*x - 3
12*x**2 + 12*x - 8 + 1/x,4*x**3 + 6*x**2 - 8*x + log(x) - 10
24*x**2 + 16*x + 2,8*x**3 + 8*x**2 + 2*x + 6
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
(-15*x**2 + 18*x + cos(x) + 4)*log(x) + (-5*x**3 + 9*x**2 + 4*x + sin(x) - 9)/x,(-5*x**3 + 9*x**2 + 4*x + sin(x) - 9)*log(x)
-sin(x),cos(x)
-3*x**2 + 8*x + 6,-x**3 + 4*x**2 + 6*x
-24*x**2 - 1,-8*x**3 - x - 4
tan(x)**2 + 1,tan(x)
-20*x + cos(x) - 6,-10*x**2 - 6*x + sin(x) + 1
4*exp(2*x),2*exp(2*x)
-21*x**2 + 6*x - 2,-7*x**3 + 3*x**2 - 2*x - 6
1/x,log(x)
-sin(x),cos(x)
-sin(x),cos(x)
tan(x)**2 + 1 + 1/x,log(x) + tan(x)
1/x,log(x)
-27*x**2 + 2*x - 9,-9*x**3 + x**2 - 9*x - 5
-15*x**2 - 18*x - 9,-5*x**3 - 9*x**2 - 9*x + 6
-sin(x),cos(x)
-sin(x),cos(x)
-18*x**2 + 20*x + cos(x) - 2,-6*x**3 + 10*x**2 - 2*x + sin(x)
exp(x),exp(x)
-sin(x),cos(x)
-27*x**2 - 10*x - 9,-9*x**3 - 5*x**2 - 9*x - 10
cos(x),sin(x)
21*x**2 + 20*x + 4 + 1/x,7*x**3 + 10*x**2 + 4*x + log(x) + 8
tan(x)**2 + 1,tan(x)
(log(x) + sin(x))*cos(x) + (cos(x) + 1/x)*sin(x),(log(x) + sin(x))*sin(x)
exp(x),exp(x)
-sin(x),cos(x)
(1 - 14*x)*log(x) + (-7*x**2 + x + 10)/x,(-7*x**2 + x + 10)*log(x)
3*x**2 - 4*x + 8,x**3 - 2*x**2 + 8*x
tan(x)**2 + 1,tan(x)
30*x**2 + 14*x + 3,10*x**3 + 7*x**2 + 3*x + 3
-sin(x),cos(x)
2*log(x)/x,log(x)**2
(-24*x**2 + 8*x - 8 + 1/x)*log(x) + (-8*x**3 + 4*x**2 - 8*x + log(x) - 2)/x,(-8*x**3 + 4*x**2 - 8*x + log(x) - 2)*log(x)
cos(x),sin(x)
-sin(x),cos(x)
exp(x),exp(x)
cos(x),sin(x)
1/x,log(x)
2*(tan(x)**2 + 1)*exp(x) + 2*exp(x)*tan(x),2*exp(x)*tan(x)
exp(x),exp(x)
exp(x),exp(x)
24*x**2 - 14*x - 9,8*x**3 - 7*x**2 - 9*x - 1
1/x,log(x)
3*x**2 + 16*x + 4,x**3 + 8*x**2 + 4*x - 5
(6*x**2 + 8*x - sin(x) - 5)*cos(x) - (2*x**3 + 4*x**2 - 5*x + cos(x))*sin(x),(2*x**3 + 4*x**2 - 5*x + cos(x))*cos(x)
27*x**2 + 2*x + 3,9*x**3 + x**2 + 3*x + 7
tan(x)**2 + 1,tan(x)
(tan(x)**2 + 1)*exp(x) + exp(x)*tan(x),exp(x)*tan(x)
-sin(x),cos(x)
-15*x**2 + 20*x - 10,-5*x**3 + 10*x**2 - 10*x - 7
6*x**2 - 6*x - 6,2*x**3 - 3*x**2 - 6*x
18*x**2 + 8*x + 3,6*x**3 + 4*x**2 + 3*x + 2
(-3*x**2 + 12*x - 4 + 1/x)*log(x) + (-x**3 + 6*x**2 - 4*x + log(x) - 9)/x,(-x**3 + 6*x**2 - 4*x + log(x) - 9)*log(x)
1/x,log(x)
exp(x) + tan(x)**2 + 1,exp(x) + tan(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
-12*x**2 - 6*x + 1,-4*x**3 - 3*x**2 + x + 9
exp(x),exp(x)
1/x,log(x)
-sin(x),cos(x)
-sin(x),cos(x)
cos(x),sin(x)
-sin(x),cos(x)
12*x**2 + 20*x + 4,4*x**3 + 10*x**2 + 4*x - 5
1/x,log(x)
-2*sin(x)*cos(x),cos(x)**2
exp(x),exp(x)
1/x,log(x)
12*x**2 - 2*x - 1,4*x**3 - x**2 - x - 3
1/x,log(x)
-sin(x) + 1/x,log(x) + cos(x)
exp(x),exp(x)
cos(x),sin(x)
-sin(x),cos(x)
2*log(x)/x,log(x)**2
-sin(x),cos(x)
(log(x) + cos(x))*(-21*x**2 - 20*x + 1) + (-sin(x) + 1/x)*(-7*x**3 - 10*x**2 + x + 2),(log(x) + cos(x))*(-7*x**3 - 10*x**2 + x + 2)
cos(x),sin(x)
1/x,log(x)
(-15*x**2 + 16*x + 4)*log(x) + (-5*x**3 + 8*x**2 + 4*x + 6)/x,(-5*x**3 + 8*x**2 + 4*x + 6)*log(x)
1/x,log(x)
exp(x),exp(x)
1/x,log(x)
-sin(x),cos(x)
exp(x),exp(x)
-12*x**2 + 18*x - 8,-4*x**3 + 9*x**2 - 8*x - 2
exp(x),exp(x)
-(log(x) + cos(x))*sin(x) + (-sin(x) + 1/x)*cos(x),(log(x) + cos(x))*cos(x)
exp(x),exp(x)
exp(x),exp(x)
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
(2*tan(x)**2 + 2)*tan(x),tan(x)**2
cos(x),sin(x)
-2*log(x)*sin(x) + 2*cos(x)/x,2*log(x)*cos(x)
15*x**2 - 2*x,5*x**3 - x**2 - 3
exp(x) - sin(x),exp(x) + cos(x)
3*x**2 - 2*x - 7,x**3 - x**2 - 7*x + 9
1/x,log(x)
1/x,log(x)
30*x**2 + 8*x - 7,10*x**3 + 4*x**2 - 7*x + 7
tan(x)**2 + 1,tan(x)
1/x,log(x)
(27*x**2 - 2*x + exp(x) + 9)*exp(x) + (9*x**3 - x**2 + 9*x + exp(x) + 5)*exp(x),(9*x**3 - x**2 + 9*x + exp(x) + 5)*exp(x)
cos(x),sin(x)
exp(x),exp(x)
(-9*x**2 + 12*x + 9)*sin(x) + (-3*x**3 + 6*x**2 + 9*x + 10)*cos(x),(-3*x**3 + 6*x**2 + 9*x + 10)*sin(x)
(-6*x**2 - 18*x + 5 + 1/x)*sin(x) + (-2*x**3 - 9*x**2 + 5*x + log(x) - 2)*cos(x),(-2*x**3 - 9*x**2 + 5*x + log(x) - 2)*sin(x)
1/x,log(x)
(-18*x**2 - 16*x + exp(x) - 9)*exp(x) + (-6*x**3 - 8*x**2 - 9*x + exp(x) + 4)*exp(x),(-6*x**3 - 8*x**2 - 9*x + exp(x) + 4)*exp(x)
(-21*x**2 + 20*x + tan(x)**2 - 1)*log(x) + (-7*x**3 + 10*x**2 - 2*x + tan(x) - 6)/x,(-7*x**3 + 10*x**2 - 2*x + tan(x) - 6)*log(x)
tan(x)**2 + 1,tan(x)
-24*x**2 - 14*x,-8*x**3 - 7*x**2 - 3
1/x,log(x)
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
-3*x**2 + 10*x - 6,-x**3 + 5*x**2 - 6*x + 6
-sin(x),cos(x)
-30*x**2 - 18*x + 7,-10*x**3 - 9*x**2 + 7*x + 10
cos(x),sin(x)
exp(x),exp(x)
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
3*x**2 + 18*x + 1,x**3 + 9*x**2 + x + 7
(-18*x**2 + 20*x + 16)*cos(x) - (-6*x**3 + 10*x**2 + 16*x - 10)*sin(x),(-6*x**3 + 10*x**2 + 16*x - 10)*cos(x)
1/x,log(x)
-(log(x) + cos(x))*sin(x) + (-sin(x) + 1/x)*cos(x),(log(x) + cos(x))*cos(x)
cos(x),sin(x)
21*x**2 - 14*x + 4,7*x**3 - 7*x**2 + 4*x + 1
1/x,log(x)
-sin(x),cos(x)
-sin(x),cos(x)
15*x**2 - 20*x + 4,5*x**3 - 10*x**2 + 4*x - 2
27*x**2 - 14*x - 10,9*x**3 - 7*x**2 - 10*x + 2
6*x**2 - 2,2*x**3 - 2*x
21*x**2 + 10*x,7*x**3 + 5*x**2 - 3
1/x,log(x)
tan(x)**2 + 1,tan(x)
