Derivative,Original_Function
exp(x),exp(x)
9*x**2 + 2*x + 7,3*x**3 + x**2 + 7*x - 2
2*log(x)/x,log(x)**2
1/x,log(x)
2*sin(x)*cos(x),sin(x)**2
3*x**2 + 14*x - 7,x**3 + 7*x**2 - 7*x - 8
exp(x),exp(x)
exp(x)*sin(x) + exp(x)*cos(x),exp(x)*sin(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
-sin(x) + 1/x,log(x) + cos(x)
-sin(x),cos(x)
3*x**2 + 2*x + 8,x**3 + x**2 + 8*x - 1
(-9*x**2 + 16*x - 10 + 1/x)*sin(x) + (-3*x**3 + 8*x**2 - 10*x + log(x) - 3)*cos(x),(-3*x**3 + 8*x**2 - 10*x + log(x) - 3)*sin(x)
exp(x),exp(x)
1/x,log(x)
24*x**2 - 20*x + 10,8*x**3 - 10*x**2 + 10*x - 2
-30*x**2 + 6*x + 8,-10*x**3 + 3*x**2 + 8*x - 9
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
exp(x),exp(x)
27*x**2 + 8*x - 7,9*x**3 + 4*x**2 - 7*x + 5
-21*x**2 - 4*x - 3,-7*x**3 - 2*x**2 - 3*x + 7
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
log(x)*cos(x) + sin(x)/x,log(x)*sin(x)
18*x**2 - 8,6*x**3 - 8*x - 5
-sin(x),cos(x)
-sin(x),cos(x)
exp(x),exp(x)
(18*x**2 - 28*x + 18)*cos(x) - (6*x**3 - 14*x**2 + 18*x + 4)*sin(x),(6*x**3 - 14*x**2 + 18*x + 4)*cos(x)
exp(x),exp(x)
cos(x),sin(x)
cos(x),sin(x)
(2*tan(x)**2 + 2)*tan(x),tan(x)**2
exp(x),exp(x)
-sin(x),cos(x)
12*x**2 + 4*x + 3,4*x**3 + 2*x**2 + 3*x - 9
-6*x**2 - 10*x + 9,-2*x**3 - 5*x**2 + 9*x - 2
tan(x)**2 + 1,tan(x)
18*x**2 - 8*x - 6,6*x**3 - 4*x**2 - 6*x + 3
-sin(x),cos(x)
1/x,log(x)
cos(x),sin(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
exp(x),exp(x)
-18*x**2 + 2*x - 9,-6*x**3 + x**2 - 9*x - 6
exp(x),exp(x)
24*x**2 - 3,8*x**3 - 3*x - 9
(9*x**2 - sin(x) + 7)*exp(x) + (3*x**3 + 7*x + cos(x) - 8)*exp(x),(3*x**3 + 7*x + cos(x) - 8)*exp(x)
1/x,log(x)
-sin(x),cos(x)
-21*x**2 + 6*x + 7,-7*x**3 + 3*x**2 + 7*x
tan(x)**2 + 1,tan(x)
1/x,log(x)
4*exp(2*x),2*exp(2*x)
exp(x),exp(x)
-6*x**2 - 14*x + 3,-2*x**3 - 7*x**2 + 3*x - 8
(-20*x - 4)*exp(x) + (-10*x**2 - 4*x - 10)*exp(x),(-10*x**2 - 4*x - 10)*exp(x)
(21*x**2 + 4*x + 8)*cos(x) - (7*x**3 + 2*x**2 + 8*x - 9)*sin(x),(7*x**3 + 2*x**2 + 8*x - 9)*cos(x)
cos(x),sin(x)
-2*sin(x),2*cos(x)
1/x,log(x)
-24*x**2 + 2*x + 9,-8*x**3 + x**2 + 9*x - 3
1/x,log(x)
21*x**2 - 12*x + 7,7*x**3 - 6*x**2 + 7*x + 7
21*x**2 + 2*x - 5,7*x**3 + x**2 - 5*x + 8
1/x,log(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
(6*x**2 - 4*x + 5)*log(x) + (2*x**3 - 2*x**2 + 5*x - 6)/x,(2*x**3 - 2*x**2 + 5*x - 6)*log(x)
18*x**2 - 14*x + 2,6*x**3 - 7*x**2 + 2*x + 5
-18*x**2 - 16*x - 8,-6*x**3 - 8*x**2 - 8*x + 7
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
-21*x**2 - 4*x + 10,-7*x**3 - 2*x**2 + 10*x - 2
tan(x)**2 + 1,tan(x)
1/x,log(x)
-2*exp(x)*sin(x) + 2*exp(x)*cos(x),2*exp(x)*cos(x)
(-30*x**2 - 24*x + 6)*exp(x) + (-10*x**3 - 12*x**2 + 6*x - 2)*exp(x),(-10*x**3 - 12*x**2 + 6*x - 2)*exp(x)
-sin(x),cos(x)
exp(x)*sin(x) + exp(x)*cos(x),exp(x)*sin(x)
(tan(x)**2 + 1)*log(x) + tan(x)/x,log(x)*tan(x)
(-3*x**2 + 8*x + exp(x) + 6)*cos(x) - (-x**3 + 4*x**2 + 6*x + exp(x) - 7)*sin(x),(-x**3 + 4*x**2 + 6*x + exp(x) - 7)*cos(x)
exp(x),exp(x)
cos(x),sin(x)
1/x,log(x)
cos(x),sin(x)
cos(x),sin(x)
27*x**2 + 20*x + 4,9*x**3 + 10*x**2 + 4*x + 4
exp(x) + tan(x)**2 + 1,exp(x) + tan(x)
exp(x),exp(x)
-sin(x),cos(x)
exp(x),exp(x)
-15*x**2 - 16*x + 10 + 1/x,-5*x**3 - 8*x**2 + 10*x + log(x) + 10
(20*x + cos(x) - 4)*sin(x) + (10*x**2 - 4*x + sin(x))*cos(x),(10*x**2 - 4*x + sin(x))*sin(x)
(30*x**2 + 36*x + 16)*(5*x**3 + 9*x**2 + 8*x + 2),(5*x**3 + 9*x**2 + 8*x + 2)**2
3*x**2 + 4*x - 7,x**3 + 2*x**2 - 7*x - 7
2*log(x)/x,log(x)**2
2*sin(x)*cos(x),sin(x)**2
6*x**2 + 4*x + 6,2*x**3 + 2*x**2 + 6*x - 9
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
1/x,log(x)
1/x,log(x)
-sin(x),cos(x)
-sin(x),cos(x)
18*x**2 + 8*x - 4,6*x**3 + 4*x**2 - 4*x - 8
tan(x)**2 + 1,tan(x)
-6*x**2 + 16*x - 7,-2*x**3 + 8*x**2 - 7*x - 3
exp(x),exp(x)
exp(x),exp(x)
27*x**2 - 2*x - 8,9*x**3 - x**2 - 8*x + 9
9*x**2 - 2*x - 8,3*x**3 - x**2 - 8*x + 7
18*x**2 - 2*x - 1,6*x**3 - x**2 - x - 7
-sin(x),cos(x)
(tan(x)**2 + 1)*log(x) + tan(x)/x,log(x)*tan(x)
6*x**2 - 20*x + 1,2*x**3 - 10*x**2 + x - 6
27*x**2 + 20*x - 5,9*x**3 + 10*x**2 - 5*x - 2
exp(x),exp(x)
exp(x),exp(x)
9*x**2 - 10*x - 9,3*x**3 - 5*x**2 - 9*x - 1
27*x**2 + 12*x + 2,9*x**3 + 6*x**2 + 2*x - 6
-9*x**2 - 16*x - 10,-3*x**3 - 8*x**2 - 10*x
(6*x**2 - 18*x - 4)*exp(x) + (2*x**3 - 9*x**2 - 4*x + 5)*exp(x),(2*x**3 - 9*x**2 - 4*x + 5)*exp(x)
cos(x),sin(x)
1/x,log(x)
15*x**2 - 6*x - 10,5*x**3 - 3*x**2 - 10*x + 2
(-9*x**2 - 20*x + exp(x) - 10)*cos(x) - (-3*x**3 - 10*x**2 - 10*x + exp(x) + 2)*sin(x),(-3*x**3 - 10*x**2 - 10*x + exp(x) + 2)*cos(x)
12 - 12*x,-6*x**2 + 12*x + 18
27*x**2 - 12*x - 6,9*x**3 - 6*x**2 - 6*x + 1
(exp(x) + sin(x))*cos(x) + (exp(x) + cos(x))*sin(x),(exp(x) + sin(x))*sin(x)
30*x**2 + 10*x + 7,10*x**3 + 5*x**2 + 7*x + 1
exp(x),exp(x)
-sin(x),cos(x)
exp(x),exp(x)
cos(x),sin(x)
6*x**2 - 12*x + cos(x) - 9,2*x**3 - 6*x**2 - 9*x + sin(x) - 4
-sin(x),cos(x)
-sin(x),cos(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
12*x**2 - 16*x - 7,4*x**3 - 8*x**2 - 7*x - 7
(exp(x) + sin(x))*exp(x) + (exp(x) + cos(x))*exp(x),(exp(x) + sin(x))*exp(x)
1/x,log(x)
-sin(x),cos(x)
9*x**2 + 14*x - 9,3*x**3 + 7*x**2 - 9*x + 1
-sin(x),cos(x)
1/x,log(x)
-21*x**2 - 6*x - 3,-7*x**3 - 3*x**2 - 3*x + 8
4*sin(x)*cos(x),2*sin(x)**2
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
cos(x),sin(x)
12*x**2 - 6*x - 10,4*x**3 - 3*x**2 - 10*x - 3
-12*x**2 + 4*x + 6,-4*x**3 + 2*x**2 + 6*x - 7
cos(x),sin(x)
(-3*x**2 + 20*x + 9)*sin(x) + (-x**3 + 10*x**2 + 9*x + 7)*cos(x),(-x**3 + 10*x**2 + 9*x + 7)*sin(x)
1/x,log(x)
(12*x**2 - 8*x + 6)*(4*x**3 - 4*x**2 + 6*x + tan(x) + 2) + (12*x**2 - 8*x + tan(x)**2 + 7)*(4*x**3 - 4*x**2 + 6*x + 2),(4*x**3 - 4*x**2 + 6*x + 2)*(4*x**3 - 4*x**2 + 6*x + tan(x) + 2)
-6*x**2 - 2*x + 7,-2*x**3 - x**2 + 7*x
cos(x),sin(x)
cos(x),sin(x)
-sin(x),cos(x)
1/x,log(x)
-sin(x),cos(x)
cos(x),sin(x)
-24*x**2 - 6*x + 2,-8*x**3 - 3*x**2 + 2*x - 2
-15*x**2 - 12*x - 2,-5*x**3 - 6*x**2 - 2*x + 8
tan(x)**2 + 1,tan(x)
3 - 8*x,-4*x**2 + 3*x + 4
2*(tan(x)**2 + 1)*(-3*x**3 + 10*x**2 + x + 4) + 2*(-9*x**2 + 20*x + 1)*tan(x),2*(-3*x**3 + 10*x**2 + x + 4)*tan(x)
1/x,log(x)
30*x**2 - 4,10*x**3 - 4*x - 18
(6*x**2 - 20*x - 10)*exp(x) + (2*x**3 - 10*x**2 - 10*x - 2)*exp(x),(2*x**3 - 10*x**2 - 10*x - 2)*exp(x)
27*x**2 - 8*x - 4,9*x**3 - 4*x**2 - 4*x
1/x,log(x)
(-9*x**2 + 4*x + tan(x)**2 + 4)*log(x) + (-3*x**3 + 2*x**2 + 3*x + tan(x) + 10)/x,(-3*x**3 + 2*x**2 + 3*x + tan(x) + 10)*log(x)
-21*x**2 + 20*x - 3,-7*x**3 + 10*x**2 - 3*x - 1
27*x**2 - 2*x - 5,9*x**3 - x**2 - 5*x + 1
(-18*x**2 + 20*x + exp(x) + 10)*exp(x) + (-6*x**3 + 10*x**2 + 10*x + exp(x) - 4)*exp(x),(-6*x**3 + 10*x**2 + 10*x + exp(x) - 4)*exp(x)
-15*x**2 - 4*x - 5,-5*x**3 - 2*x**2 - 5*x + 8
-30*x**2 - 4*x - 1,-10*x**3 - 2*x**2 - x + 2
6*x**2 + 18*x - 4,2*x**3 + 9*x**2 - 4*x - 4
(21*x**2 - 6*x + 10)*cos(x) - (7*x**3 - 3*x**2 + 10*x - 3)*sin(x),(7*x**3 - 3*x**2 + 10*x - 3)*cos(x)
-sin(x),cos(x)
exp(x),exp(x)
(tan(x)**2 + 1)*(-10*x**3 - 2*x**2 + tan(x) - 2) + (-30*x**2 - 4*x + tan(x)**2 + 1)*tan(x),(-10*x**3 - 2*x**2 + tan(x) - 2)*tan(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
exp(x),exp(x)
27*x**2 - 6*x + 1,9*x**3 - 3*x**2 + x - 8
2*exp(x),2*exp(x)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
6*x**2 - 14*x + tan(x)**2 + 1,2*x**3 - 7*x**2 + tan(x) + 6
tan(x)**2 + 1,tan(x)
(tan(x)**2 + 1)*(14*x**3 + 2*x**2 + 8*x + 12) + (42*x**2 + 4*x + 8)*tan(x),(14*x**3 + 2*x**2 + 8*x + 12)*tan(x)
-6*x**2 - 14*x - 10,-2*x**3 - 7*x**2 - 10*x - 6
(-sin(x) + 1/x)*log(x) + (log(x) + cos(x))/x,(log(x) + cos(x))*log(x)
-6*x**2 - 4*x - 8,-2*x**3 - 2*x**2 - 8*x - 8
tan(x)**2 + 1,tan(x)
1/x,log(x)
(30*x**2 + 18*x + 9)*(20*x**3 + 18*x**2 + 18*x - 14) + (60*x**2 + 36*x + 18)*(10*x**3 + 9*x**2 + 9*x - 7),(10*x**3 + 9*x**2 + 9*x - 7)*(20*x**3 + 18*x**2 + 18*x - 14)
(exp(x) + sin(x))*cos(x) + (exp(x) + cos(x))*sin(x),(exp(x) + sin(x))*sin(x)
cos(x),sin(x)
-exp(x)*sin(x) + exp(x)*cos(x),exp(x)*cos(x)
-6*x**2 - 4*x - 6,-2*x**3 - 2*x**2 - 6*x - 6
exp(x),exp(x)
2*log(x)/x,log(x)**2
-36*x**2 + 16*x - 12,-12*x**3 + 8*x**2 - 12*x - 6
9*x**2 - 12*x + 6,3*x**3 - 6*x**2 + 6*x + 7
(30*x**2 - 14*x - 3)*sin(x) + (10*x**3 - 7*x**2 - 3*x + 8)*cos(x),(10*x**3 - 7*x**2 - 3*x + 8)*sin(x)
-6*x**2 - 8*x + 3,-2*x**3 - 4*x**2 + 3*x + 10
exp(x) - sin(x),exp(x) + cos(x)
1/x,log(x)
12*x**2 + 16*x + 3,4*x**3 + 8*x**2 + 3*x - 1
4*exp(2*x),2*exp(2*x)
27*x**2 - 6*x - sin(x) + 6,9*x**3 - 3*x**2 + 6*x + cos(x)
1/x,log(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
6*x - 6,3*x**2 - 6*x - 9
6*x**2 + 10*x + 3,2*x**3 + 5*x**2 + 3*x + 6
-2*sin(x),2*cos(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
-30*x**2 - 10*x - 5,-10*x**3 - 5*x**2 - 5*x + 8
1/x,log(x)
cos(x),sin(x)
15*x**2 - 20*x + 7,5*x**3 - 10*x**2 + 7*x
30*x**2 + 12*x - 3,10*x**3 + 6*x**2 - 3*x - 6
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
tan(x)**2 + 1,tan(x)
(24*x**2 + 8*x - 8)*(8*x**3 + 4*x**2 - 8*x + sin(x) - 2) + (24*x**2 + 8*x + cos(x) - 8)*(8*x**3 + 4*x**2 - 8*x - 2),(8*x**3 + 4*x**2 - 8*x - 2)*(8*x**3 + 4*x**2 - 8*x + sin(x) - 2)
(exp(x) + tan(x))*exp(x) + (exp(x) + tan(x)**2 + 1)*exp(x),(exp(x) + tan(x))*exp(x)
-sin(x),cos(x)
cos(x),sin(x)
exp(x),exp(x)
tan(x)**2 + 1,tan(x)
-9*x**2 - 12*x + 9,-3*x**3 - 6*x**2 + 9*x - 4
-6*x**2 - 6*x + 3,-2*x**3 - 3*x**2 + 3*x - 7
cos(x),sin(x)
(3*x**2 + 6*x + 3)*cos(x) - (x**3 + 3*x**2 + 3*x - 3)*sin(x),(x**3 + 3*x**2 + 3*x - 3)*cos(x)
exp(x) - sin(x),exp(x) + cos(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
-sin(x),cos(x)
tan(x)**2 + 1,tan(x)
1/x,log(x)
cos(x),sin(x)
-6*x**2 + 16*x + 9,-2*x**3 + 8*x**2 + 9*x - 9
tan(x)**2 + 1,tan(x)
1/x,log(x)
1/x,log(x)
1/x,log(x)
1/x,log(x)
cos(x),sin(x)
exp(x),exp(x)
(-18*x**2 + 6*x + 4)*cos(x) - (-6*x**3 + 3*x**2 + 4*x + 8)*sin(x),(-6*x**3 + 3*x**2 + 4*x + 8)*cos(x)
1/x,log(x)
2*(-21*x**2 - 8*x + 5)*cos(x) - 2*(-7*x**3 - 4*x**2 + 5*x + 10)*sin(x),2*(-7*x**3 - 4*x**2 + 5*x + 10)*cos(x)
exp(x),exp(x)
1/x,log(x)
1/x,log(x)
tan(x)**2 + 1 + 1/x,log(x) + tan(x)
1/x,log(x)
-sin(x),cos(x)
2*tan(x)**2 + 2,2*tan(x)
24*x**2 - 4,8*x**3 - 4*x - 4
tan(x)**2 + 1,tan(x)
cos(x),sin(x)
9*x**2 + 20*x + 4,3*x**3 + 10*x**2 + 4*x + 4
1/x,log(x)
-24*x**2 - 6*x - 3,-8*x**3 - 3*x**2 - 3*x + 10
(-36*x**2 - 12*x + 4)*(-6*x**3 - 3*x**2 + 2*x + 8),(-6*x**3 - 3*x**2 + 2*x + 8)**2
exp(x),exp(x)
-sin(x),cos(x)
(tan(x)**2 + 1)*(5*x**3 - 2*x**2 - 9*x + exp(x) + 5) + (15*x**2 - 4*x + exp(x) - 9)*tan(x),(5*x**3 - 2*x**2 - 9*x + exp(x) + 5)*tan(x)
-9*x**2 + 4*x - 3,-3*x**3 + 2*x**2 - 3*x + 6
exp(x),exp(x)
-sin(x),cos(x)
-6*x**2 + 14*x - 2,-2*x**3 + 7*x**2 - 2*x - 7
1/x,log(x)
exp(x),exp(x)
6*x**2 + 16*x + 1,2*x**3 + 8*x**2 + x - 7
1/x,log(x)
2*(2*tan(x)**2 + 2)*tan(x),2*tan(x)**2
(tan(x)**2 + 1)*(7*x**3 + 5*x**2 - 3*x + 5) + (21*x**2 + 10*x - 3)*tan(x),(7*x**3 + 5*x**2 - 3*x + 5)*tan(x)
1/x,log(x)
5 - 16*x,-8*x**2 + 5*x - 6
-sin(x),cos(x)
1/x,log(x)
(exp(x) + sin(x))*cos(x) + (exp(x) + cos(x))*sin(x),(exp(x) + sin(x))*sin(x)
-27*x**2 - 16*x - 7 + 1/x,-9*x**3 - 8*x**2 - 7*x + log(x)
1/x,log(x)
tan(x)**2 + 1,tan(x)
2*log(x)/x,log(x)**2
-3*x**2 + 16*x - 7,-x**3 + 8*x**2 - 7*x - 5
cos(x),sin(x)
1/x,log(x)
exp(x),exp(x)
9*x**2 - 16*x + 5,3*x**3 - 8*x**2 + 5*x - 7
1/x,log(x)
tan(x)**2 + 1,tan(x)
15*x**2 + 2*x + 1,5*x**3 + x**2 + x + 1
1 - 12*x,-6*x**2 + x + 9
1/x,log(x)
cos(x),sin(x)
1/x,log(x)
1/x,log(x)
-sin(x),cos(x)
(24*x + 10)*exp(x) + (12*x**2 + 10*x + 16)*exp(x),(12*x**2 + 10*x + 16)*exp(x)
-log(x)*sin(x) + cos(x)/x,log(x)*cos(x)
(-12*x**2 - 8*x - 10)*log(x) + (-4*x**3 - 4*x**2 - 10*x + 3)/x,(-4*x**3 - 4*x**2 - 10*x + 3)*log(x)
exp(x),exp(x)
cos(x),sin(x)
